player_id,display_name,full_name,short_name,country,role,batting_style,bowling_style,date_of_birth,career_start,career_end,photo_url,key_cricinfo,photo_source,key_cricbuzz
1,A Adekunle,Adeshola Adekunle,A Adekunle,Nigeria,Bowler,Right-hand bat,Right-arm offbreak,2007-12-10,2023-12-10,2026-06-20,ASSETS/player_photos/1.jpg,1365288.0,LOCAL_PLAYER_PHOTO,
2,A Adey,Aditya Adey,A Adey,Ireland,Batter,Not Available,Not Available,Not Available,2024-09-10,2024-09-11,ASSETS/player_photos/2.jpg,1313452.0,LOCAL_PLAYER_PHOTO,
3,A Ahmadhel,Atagul Ahmadhel,A Ahmadhel,Bulgaria,Bowler,Right-hand bat,Right-arm medium,2001-06-01,2020-10-18,2024-08-25,ASSETS/player_photos/3.jpg,1203910.0,LOCAL_PLAYER_PHOTO,
4,Aimee Aikenhead,Aimee Aikenhead,A Aikenhead,Jersey,Bowler,Right-hand bat,Right-arm offbreak,2006-01-01,2023-05-30,2026-06-14,ASSETS/player_photos/4.jpg,1378740.0,PLACEHOLDER,
5,Abbi Aitken,Abbi Aitken-Drummond,A Aitken,Scotland,Bowler,Right-hand bat,Right-arm medium,1991-04-11,2015-12-01,2018-07-12,ASSETS/player_photos/5.jpg,306201.0,LOCAL_PLAYER_PHOTO,
6,A Aitken-Drummond,Abbi Aitken-Drummond,A Aitken-Drummond,Scotland,Bowler,Right-hand bat,Right-arm medium,1991-04-11,2019-08-09,2025-04-15,ASSETS/player_photos/6.jpg,306201.0,LOCAL_PLAYER_PHOTO,
7,A Akhigbe,Annointed Akhigbe,A Akhigbe,Nigeria,Bowler,Right-hand bat,Right-arm medium,2008-01-16,2024-05-31,2026-03-28,ASSETS/player_photos/7.jpg,1423827.0,LOCAL_PLAYER_PHOTO,
8,A Akurut,Asumin Akurut,A Akurut,Uganda,Bowler,Right-hand bat,Right-arm medium,2007-10-02,2024-05-30,2026-07-30,ASSETS/player_photos/8.jpg,1435501.0,LOCAL_PLAYER_PHOTO,
9,A Alexander,Andreas Alexander Hawoe,A Alexander,Indonesia,Bowler,Right-hand bat,Right-arm medium,2005-11-07,2024-10-24,2025-12-29,ASSETS/player_photos/9.jpg,1451258.0,LOCAL_PLAYER_PHOTO,
10,A Alfonso,Allinafe Alfonso,A Alfonso,Malawi,Bowler,Right-hand bat,Not Available,2005-10-24,2024-05-31,2026-04-11,ASSETS/player_photos/10.jpg,1395410.0,LOCAL_PLAYER_PHOTO,
11,A Amado,Abraham Amado,A Amado,Israel,Bowler,Right-hand bat,Right-arm medium,1994-06-02,2022-06-29,2022-07-01,ASSETS/player_photos/11.jpg,1321182.0,LOCAL_PLAYER_PHOTO,
12,A Amburose,Ahil Amburose,A Amburose,Bahamas,Bowler,Right-hand bat,Right-arm medium,1993-03-05,2026-06-24,2026-06-27,ASSETS/player_photos/12.jpg,1540559.0,LOCAL_PLAYER_PHOTO,
13,A Amuzu,Abigail Amuzu,A Amuzu,Ghana,Bowler,Right-hand bat,Not Available,2004-05-10,2026-03-22,2026-03-22,ASSETS/player_photos/13.jpg,1528014.0,LOCAL_PLAYER_PHOTO,
14,A Anandakumara,Kaveesha Abhishek Anandakumara,A Anandakumara,Sri Lanka,Bowler,Right-hand bat,Right-arm offbreak,2002-01-25,2024-06-16,2025-02-21,ASSETS/player_photos/14.jpg,1194800.0,LOCAL_PLAYER_PHOTO,
15,A Andrews,Aidan Andrews,A Andrews,Switzerland,Bowler,Right-hand bat,Right-arm medium,1998-06-02,2021-10-22,2022-07-25,ASSETS/player_photos/15.jpg,1135751.0,LOCAL_PLAYER_PHOTO,
16,A Andriani,Andriani Andriani,A Andriani,Indonesia,Bowler,Right-hand bat,Right-arm medium-fast,1995-04-09,2023-09-04,2024-02-14,ASSETS/player_photos/16.jpg,1116777.0,LOCAL_PLAYER_PHOTO,
17,Austin Anlezark,Austin Anlezark,A Anlezark,Australia,Bowler,Left-hand bat,Right-arm medium,2005-06-16,2025-10-09,2026-02-21,ASSETS/player_photos/17.jpg,1357425.0,LOCAL_PLAYER_PHOTO,
18,A Aravinddaraj,A Aravinddaraj,A Aravinddaraj,India,Bowler,Right-hand bat,Right-arm medium,1996-06-09,2019-02-25,2022-10-18,ASSETS/player_photos/18.jpg,1175501.0,LOCAL_PLAYER_PHOTO,
19,A Argyropoulou,Aggeliki-ioanna Argyropoulou,A Argyropoulou,Greece,Bowler,Right-hand bat,Right-arm medium-fast,2006-09-20,2023-08-04,2026-08-29,ASSETS/player_photos/19.jpg,1333937.0,LOCAL_PLAYER_PHOTO,
20,Ashish Reddy,Ammana Ashish Reddy,A Ashish Reddy,India,Allrounder,Right-hand bat,Right-arm medium,1991-02-24,2012-04-26,2019-02-25,ASSETS/player_photos/20.jpg,389605.0,LOCAL_PLAYER_PHOTO,
21,Adithya Ashok,Adithya Ashok,A Ashok,New Zealand,Bowler,Right-hand bat,Not Available,2002-09-05,2021-12-17,2026-03-27,ASSETS/player_photos/21.jpg,1193546.0,LOCAL_PLAYER_PHOTO,
22,A Ashokan,Arun Ashokan,A Ashokan,Czech Republic,Bowler,Right-hand bat,Right-arm medium,1993-02-27,2018-09-01,2023-06-11,ASSETS/player_photos/22.jpg,1156472.0,LOCAL_PLAYER_PHOTO,
23,Alick Athanaze,Alick Athanaze,A Athanaze,West Indies,Batting Allrounder,Left-hand bat,Right-arm offbreak,1997-12-07,2023-06-09,2026-08-08,ASSETS/player_photos/23.jpg,1078692.0,LOCAL_PLAYER_PHOTO,
24,A Augastin,Ajith Augastin,A Augastin,Tanzania,Allrounder,Left-hand bat,Right-arm medium,1995-11-25,2025-07-07,2026-08-18,ASSETS/player_photos/24.jpg,1492934.0,LOCAL_PLAYER_PHOTO,
25,Andrew Austin,Andrew Austin,A Austin,Ireland,Batter,Left-hand bat,Not Available,1997-09-03,2016-08-07,2019-05-23,ASSETS/player_photos/25.jpg,928075.0,LOCAL_PLAYER_PHOTO,
26,A Awasthi,Abhishek Awasthi,A Awasthi,Croatia,Middle order Batter,Not Available,Not Available,Not Available,2023-10-21,2025-12-07,ASSETS/player_photos/26.jpg,,LOCAL_PLAYER_PHOTO,
27,Aaron Ayre,Aaron Ayre,A Ayre,Australia,Wicketkeeper Batter,Left-hand bat,Not Available,1992-08-06,2016-01-09,2016-01-09,ASSETS/player_photos/27.jpg,333639.0,LOCAL_PLAYER_PHOTO,
28,Ayush Badoni,Ayush Badoni,A Badoni,India,Batter,Right-hand bat,Right-arm offbreak,1999-12-03,2021-01-19,2026-05-23,ASSETS/player_photos/28.jpg,1151270.0,LOCAL_PLAYER_PHOTO,
29,Ashish Bagai,Ashish Bagai,A Bagai,Canada,Wicketkeeper Batter,Right-hand bat,Not Available,1982-01-26,2003-02-11,2013-11-26,ASSETS/player_photos/29.jpg,23797.0,LOCAL_PLAYER_PHOTO,
30,Andrew Balbirnie,Andrew Balbirnie,A Balbirnie,Ireland,Batter,Right-hand bat,Right-arm offbreak,1990-12-28,2010-07-07,2026-07-29,ASSETS/player_photos/30.jpg,303423.0,GEMINI_FAMOUS_PHOTO,
31,A Bandara,Anjala Bandara,A Bandara,Sri Lanka,Wicketkeeper Batter,Left-hand bat,Not Available,2004-05-16,2024-06-13,2026-08-26,ASSETS/player_photos/31.jpg,1291678.0,PLACEHOLDER,
32,Aoife Beggs,Aoife Beggs,A Beggs,Ireland,Batter,Right-hand bat,Right-arm medium,1999-10-23,2017-05-07,2017-05-19,ASSETS/player_photos/32.jpg,1094719.0,LOCAL_PLAYER_PHOTO,
33,A Beresford-Peirse,Alfred Beresford-Peirse,A Beresford-Peirse,Croatia,Allrounder,Right-hand bat,Right-arm medium,2008-10-22,2025-08-07,2025-12-07,ASSETS/player_photos/33.jpg,1497610.0,LOCAL_PLAYER_PHOTO,
34,A Bester,Anika Bester,A Bester,France,Bowler,Right-hand bat,Right-arm medium,1994-10-12,2023-05-29,2023-09-12,ASSETS/player_photos/34.jpg,366042.0,LOCAL_PLAYER_PHOTO,
35,A Bhadauria,Anshuman Bhadauria Singh,A Bhadauria,Luxembourg,Top order Batter,Right-hand bat,Right-arm medium,1986-09-08,2022-07-08,2022-07-10,ASSETS/player_photos/35.jpg,1263722.0,LOCAL_PLAYER_PHOTO,
36,Aarush Bhagwat,Aarush Bhagwat,A Bhagwat,Hong Kong,Wicketkeeper Batter,Right-hand bat,Not Available,2003-09-12,2019-10-06,2019-10-23,ASSETS/player_photos/36.jpg,1134974.0,LOCAL_PLAYER_PHOTO,
37,A Bhargava,Adwitya Bhargava,A Bhargava,Singapore,Middle order Batter,Right-hand bat,Right-arm medium,2006-01-06,2022-08-22,2022-08-24,ASSETS/player_photos/37.jpg,1329941.0,LOCAL_PLAYER_PHOTO,
38,A Bharwad,Anant Bharwad,A Bharwad,India,Wicketkeeper Batter,Right-hand bat,Not Available,1995-04-29,2023-10-25,2023-10-25,ASSETS/player_photos/38.jpg,1404554.0,LOCAL_PLAYER_PHOTO,
39,Amrit Bhattarai,Amrit Bhattarai,A Bhattarai,Nepal,Bowler,Right-hand bat,Left-arm medium,1990-12-30,2010-08-18,2014-11-24,ASSETS/player_photos/39.jpg,233409.0,LOCAL_PLAYER_PHOTO,
40,A Bidari,Aarati Bidari,A Bidari,Nepal,Bowler,Right-hand bat,Legbreak,1992-01-26,2019-02-25,2019-02-25,ASSETS/player_photos/40.jpg,1171735.0,LOCAL_PLAYER_PHOTO,
41,Anne Bierwisch,Anne Bierwisch,A Bierwisch,Germany,Top order Batter,Left-hand bat,Not Available,1987-12-26,2019-06-27,2025-05-10,ASSETS/player_photos/41.jpg,1190581.0,LOCAL_PLAYER_PHOTO,
42,A Bishnoi,Ashok Bishnoi,A Bishnoi,Malta,Bowler,Right-hand bat,Right-arm medium,1988-02-19,2021-07-08,2023-07-15,ASSETS/player_photos/42.jpg,1268920.0,LOCAL_PLAYER_PHOTO,
43,Abinash Bohara,Abinash Bohara,A Bohara,Nepal,Bowler,Right-hand bat,Right-arm medium,1997-07-30,2019-01-31,2025-12-13,ASSETS/player_photos/43.jpg,1058508.0,LOCAL_PLAYER_PHOTO,
44,Alessandro Bonora,Alessandro Bonora,A Bonora,Italy,Middle order Batter,Right-hand bat,Right-arm fast-medium,1978-05-24,2010-08-17,2016-11-04,ASSETS/player_photos/44.jpg,296136.0,LOCAL_PLAYER_PHOTO,
45,Anne Bosch,Anneke Elizabeth Bosch,A Bosch,South Africa,Batting Allrounder,Right-hand bat,Right-arm medium,1993-08-17,2016-11-20,2026-07-12,ASSETS/player_photos/45.jpg,482506.0,LOCAL_PLAYER_PHOTO,
46,A Bose,Aakriti Bose,A Bose,Kuwait,Batter,Right-hand bat,Not Available,2004-11-16,2021-11-22,2022-06-22,ASSETS/player_photos/46.jpg,1213656.0,LOCAL_PLAYER_PHOTO,
47,Anthony Bramble,Anthony Bramble,A Bramble,Guyana,Wicketkeeper Batter,Right-hand bat,Not Available,1990-12-11,2016-06-30,2021-09-14,ASSETS/player_photos/47.jpg,480693.0,LOCAL_PLAYER_PHOTO,
48,Arran Brindle,Arran Brindle,A Brindle,England,Middle order Batter,Right-hand bat,Right-arm medium,1981-11-23,2003-02-22,2018-08-14,ASSETS/player_photos/48.jpg,53820.0,LOCAL_PLAYER_PHOTO,
49,A Brown-Carrera,Amy Brown-Carrera,A Brown-Carrera,Spain,Allrounder,Right-hand bat,Right-arm medium-fast,2006-03-13,2022-11-13,2025-05-29,ASSETS/player_photos/49.jpg,1313545.0,LOCAL_PLAYER_PHOTO,
50,A Bulow,Anders Bulow,A Bulow,Denmark,Allrounder,Right-hand bat,Right-arm medium,1994-07-14,2014-06-21,2019-06-19,ASSETS/player_photos/50.jpg,417263.0,LOCAL_PLAYER_PHOTO,
51,Ashley Burdett,Ashley Burdett,A Burdett,Zimbabwe,Not Available,Right-hand bat,Right-arm offbreak,1994-11-14,2013-07-29,2013-07-29,ASSETS/player_photos/51.jpg,490953.0,LOCAL_PLAYER_PHOTO,
52,A Bushell,Alex Bushell,A Bushell,Guernsey,Top order Batter,Right-hand bat,Not Available,1997-03-20,2023-08-14,2026-05-03,ASSETS/player_photos/52.jpg,526120.0,LOCAL_PLAYER_PHOTO,
53,A Busing-Volschenk,Alexander Busing-Volschenk,A Busing-Volschenk,Namibia,Allrounder,Right-hand bat,Right-arm medium,2005-06-20,2024-10-05,2026-08-31,ASSETS/player_photos/53.jpg,1234278.0,LOCAL_PLAYER_PHOTO,
54,Ami Campbell,Ami Campbell,A Campbell,England,Top order Batter,Left-hand bat,Right-arm medium-fast,1991-06-06,2020-09-05,2026-08-26,ASSETS/player_photos/54.jpg,1007861.0,LOCAL_PLAYER_PHOTO,
